1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1153336,1000028821,R & Z Ventures Inc.,09/30/2021,Foods,21 CFR 120.6(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with current good manufacturing practice including condition and cleanliness of food contact surfaces, prevention of cross-contamination from insanitary objects, maintenance of hand washing, hand sanitizing, and toilet facilities and protection of food, food packaging material, and food contact surfaces from adulteration."
1153366,1012980,"Sauer Brands, Inc.",09/30/2021,Foods,21 CFR 117.145(a),Sanitation Controls Monitoring Proced: Establish Implement,You did not implement adequate written procedures for monitoring sanitation controls.
1153388,2000001440,"Industria Lechera de P.R., Inc.",09/30/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1153388,2000001440,"Industria Lechera de P.R., Inc.",09/30/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1153388,2000001440,"Industria Lechera de P.R., Inc.",09/30/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Sanitation,You did not clean and sanitize your utensils or equipment in a manner that protects against contamination.
1153388,2000001440,"Industria Lechera de P.R., Inc.",09/30/2021,Foods,21 CFR 117.37,Sanitary Facilities and Control,Your plant did not have adequate sanitary facilities and accommodations.
1153388,2000001440,"Industria Lechera de P.R., Inc.",09/30/2021,Foods,21 CFR 117.40,Equipment and Utensils - Design and Maintenance,Your equipment and utensils were not designed and constructed to be adequately cleaned or maintained to protect against contamination.
1153392,3003121131,Best Formulations Inc,09/30/2021,Drugs,21 CFR 211.67(b),Written procedures not established/followed,"Written procedures are not established and followed for the cleaning and maintenance of equipment, including utensils, used in the manufacture, processing, packing or holding of a drug product."
1153693,3004674604,"Trace Elements, Inc",09/30/2021,Foods,21 CFR 111.70(e),"Specifications - identity, purity, strength, composition",You did not establish product specifications for the strength of the finished dietary supplement.
1151873,3013410523,MCALLEN TROPIC PAK,09/29/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153069,1000121159,"Martin Cheese Co., Inc.",09/29/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition.
1153091,3002366924,Silver Star Rice Noodle Company,09/29/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1153091,3002366924,Silver Star Rice Noodle Company,09/29/2021,Foods,21 CFR 117.35(e),Sanitation of non-food contact surfaces - frequency,You did not clean your non-food contact surface in a manner and as frequently as necessary to protect against contamination.
1153169,3005646137,"Ho, Kwong Leung",09/29/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153170,3009610481,"Plenitude Food Crafts, LLC",09/29/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for allergen cross-contact.
1153293,1217432,Rohtstein Corp.,09/29/2021,Foods,21 CFR 108.25(c)(2),Process filing,You did not provide FDA with information on the scheduled process for a new acidified food before packing the food.
1153293,1217432,Rohtstein Corp.,09/29/2021,Foods,21 CFR 117.40,Equipment and Utensils - Design and Maintenance,Your equipment and utensils were not designed and constructed to be adequately cleaned or maintained to protect against contamination.
1153371,3003177972,LSG Sky Chefs CLT #468,09/29/2021,Foods,21 CFR 117.35(e),Sanitation of non-food contact surfaces - frequency,You did not clean your non-food contact surface in a manner and as frequently as necessary to protect against contamination.
1153371,3003177972,LSG Sky Chefs CLT #468,09/29/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for growth of microorganisms.
1153383,2013383,"Merle Norman Cosmetics, Inc.",09/29/2021,Drugs,21 CFR 211.22(d),"Procedures not  in writing, fully followed",The responsibilities and procedures applicable to the quality control unit are not fully followed.
1153383,2013383,"Merle Norman Cosmetics, Inc.",09/29/2021,Drugs,21 CFR 211.25(a),"Training , Education , Experience overall","Employees engaged in the manufacture, processing, packing and holding of a drug product lack the training required to perform their assigned functions."
1153383,2013383,"Merle Norman Cosmetics, Inc.",09/29/2021,Drugs,21 CFR 211.25(b),Supervisor Training/Education/Experience,"Individuals responsible for supervising the manufacture, processing, packing and holding of a drug product lack the training to perform their assigned functions in such a manner as to assure the drug product has the safety, identity, strength, quality and purity that it purports or is represented to possess."
1153383,2013383,"Merle Norman Cosmetics, Inc.",09/29/2021,Drugs,21 CFR 211.160(b)(4),"Calibration - at intervals, written program, remedial action",The calibration of instruments and apparatus is not done at suitable intervals in accordance with an established written program.
1153383,2013383,"Merle Norman Cosmetics, Inc.",09/29/2021,Drugs,21 CFR 211.192,"Investigations of discrepancies, failures",There is a failure to thoroughly review any unexplained discrepancy whether or not the batch has been already distributed.
1153798,3016965337,Surimac Manufacturing Inc,09/29/2021,Devices,21 CFR 820.198(a),Complaints,Complaint files are not maintained.
1155185,2025466,Roxy Trading Inc,09/29/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1155185,2025466,Roxy Trading Inc,09/29/2021,Foods,21 CFR 117.135(c)(2),Allergen Controls Procedures,Your allergen controls procedures did not include appropriate controls for protection of food from allergen cross-contact.
1155185,2025466,Roxy Trading Inc,09/29/2021,Foods,21 CFR 117.415(a)(2),Supply-Chain Appropriate Verification Activities,You did not conduct appropriate supplier verification activities.
1150319,3013577797,ZORRY PRODUCE CORP,09/28/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1153060,3005141574,"Natures Health Options, LLC",09/28/2021,Foods,21 CFR 111.70(e),"Specifications - identity, purity, strength, composition","You did not establish product specifications for the identity, purity, strength and composition of the finished dietary supplement."
1153060,3005141574,"Natures Health Options, LLC",09/28/2021,Foods,21 CFR 111.70(g),"Specifications - finished packaging, labeling",You did not establish specifications for the packaging and labeling of the finished dietary supplement.
1153060,3005141574,"Natures Health Options, LLC",09/28/2021,Foods,21 CFR 111.140(b)(1),"QC ops; written procedures; material review, disposition",You did not make and keep written procedures for the responsibilities of the quality control operations for conducting a material review and making a disposition decision.
1153197,3008998642,"Mena Food Group, LLC. dba Militello's Italian Bakery",09/28/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1153197,3008998642,"Mena Food Group, LLC. dba Militello's Italian Bakery",09/28/2021,Foods,21 CFR 117.20(b),Plant Construction and Design,Your plant was not constructed and designed to facilitate maintenance and sanitary operations.
1153197,3008998642,"Mena Food Group, LLC. dba Militello's Italian Bakery",09/28/2021,Foods,21 CFR 117.35(d),Sanitation of food contact surfaces - frequency,You did not clean and sanitize your utensils or equipment as frequently as necessary to protect against allergen cross-contact and contamination of food.
1153197,3008998642,"Mena Food Group, LLC. dba Militello's Italian Bakery",09/28/2021,Foods,21 CFR 117.35(e),Sanitation of non-food contact surfaces - frequency,You did not clean your non-food contact surface in a manner and as frequently as necessary to protect against contamination.
1153197,3008998642,"Mena Food Group, LLC. dba Militello's Italian Bakery",09/28/2021,Foods,21 CFR 117.80(c),"Manufacturing, Processing, Packing, Holding - Controls",You did not conduct operations under conditions and controls necessary to minimize the potential for allergen cross-contact and contamination of food.
1153203,1314492,Baxter Healthcare Corporation,09/28/2021,Devices,21 CFR 820.30(g),Design validation - software validation not performed,Validation of device software is inadequate.
1150320,3008233704,"Nulo, Inc",09/27/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152897,3011198986,Delicias Del Contry Usa Inc,09/27/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152901,3003055983,"Trujillo Oil Plant, Inc.",09/27/2021,Foods,21 CFR 108.25(c)(1),Registration,"You did not register and file Form FDA 2541 (food canning establishment registration) with FDA within 10 days after first engaging in the manufacture, processing and packaging of acidified foods."
1152901,3003055983,"Trujillo Oil Plant, Inc.",09/27/2021,Foods,21 CFR 108.25(c)(2),Process filing,You did not provide FDA with information on the scheduled process for a new acidified food before packing the food.
1152901,3003055983,"Trujillo Oil Plant, Inc.",09/27/2021,Foods,21 CFR 117.135(c)(3),Sanitation Controls Procedures,Your sanitation controls procedures did not ensure cleanliness of food-contact surfaces.
1152919,3013986745,SATTVIC FOODS LLC,09/27/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 117.135(a)(1),Preventive Controls -  Identify,You did not identify a preventive control for a hazard when one was needed.
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 117.150(a)(1),Process Controls Corrective Action Proced: Estab Implement,You did not implement adequate written corrective action procedures for process controls.
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 117.165(b),Sanitation Controls Verif Procedures: Establish Implement,You did not establish and implement adequate written sanitation controls verification procedures for environmental monitoring.
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 120.7(a),Hazard analysis - written - elements,Your written hazard analysis does not consist of an identification of food hazards and an identification of critical control points.
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 120.8(b)(3),HACCP plan - critical limits not listed or not adequate,"Your HACCP plan lists a critical limit that does not prevent, eliminate, or reduce to an acceptable level the occurrence of an identified food hazard."
1152950,3001452597,"Grimmway Enterprises, Inc. dba Grimmway Farms",09/27/2021,Foods,21 CFR 120.11(a)(1),Verification activities - minimum,"Your verification activities do not include, at a minimum, review of consumer complaints to determine whether they relate to the performance of the HACCP plan and calibration of process monitoring instruments to ensure that your HACCP system is being properly implemented."
1153247,3013004369,"Euphrates Foods, LLC dba - Labeeb Alani Inc.",09/27/2021,Veterinary Medicine,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1151030,3014515673,GOLDEN HAWK WHOLESALE LLC,09/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1151241,3011802673,VSSA Commodities LLC,09/24/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152488,3017860618,Lilly's Gastronomia Italiana of Fl  Inc,09/24/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1152488,3017860618,Lilly's Gastronomia Italiana of Fl  Inc,09/24/2021,Foods,21 CFR 123.6(b),HACCP plan implementation,You did not implement the monitoring and verification procedures listed in your HACCP plan.
1152488,3017860618,Lilly's Gastronomia Italiana of Fl  Inc,09/24/2021,Foods,21 CFR 123.6(c)(3),Critical limits,Your HACCP plan does not list a critical limit that ensures control of one or more hazards.
1152488,3017860618,Lilly's Gastronomia Italiana of Fl  Inc,09/24/2021,Foods,21 CFR 123.8(a)(2)(ii),Calibration - adequacy,Your process monitoring equipment is not calibrated to ensure that it reads accurately.
1152571,1042646,"Mixon Fruit Farm, Inc.",09/24/2021,Foods,21 CFR 120.7(a),No hazard analysis,"You did not develop, or have developed for you, a written hazard analysis to determine whether there are food hazards that are reasonably likely to occur for juice you produce."
1152571,1042646,"Mixon Fruit Farm, Inc.",09/24/2021,Foods,21 CFR 120.8(a),No HACCP plan,You do not have a written HACCP plan that outlines controls for one or more food safety hazards that are reasonably likely to occur.
1152590,3013990669,CEDAR F&B LLC,09/24/2021,Foods,21 CFR 117.35(d),Sanitation of food contact surfaces - frequency,You did not clean and sanitize your utensils or equipment as frequently as necessary to protect against contamination of food.
1152910,3010097867,"T2 Biosystems, Inc.",09/24/2021,Devices,21 CFR 820.50,"Purchasing controls, Lack of or inadequate procedures",Procedures to ensure that all purchased or otherwise received product and services conform to specified requirements have not been established.
1152910,3010097867,"T2 Biosystems, Inc.",09/24/2021,Devices,21 CFR 820.100(b),Documentation,Corrective and preventive action activities and/or results have not been documented.
1152942,2127725,"PH Cider, LLC",09/24/2021,Foods,21 CFR 120.6(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with current good manufacturing practice including prevention of cross-contamination from insanitary objects, maintenance of hand washing, hand sanitizing, and toilet facilities, protection of food, food packaging material, and food contact surfaces from adulteration, proper labeling, storage and use of toxic chemicals and exclusion of pests."
1152942,2127725,"PH Cider, LLC",09/24/2021,Foods,21 CFR 120.10(c),Corrective action documentation,You do not have records that fully document corrective actions that were taken.
1152947,3015927085,CorneaGen Inc,09/24/2021,Human Tissue for Transplantation,21 CFR 1271.55(b)(3),Name and address on summary,The summary of records for HCT/Ps did not contain the address of the establishment that made the donor-eligibility determination.
1152959,3015404055,North Louisiana Tissue Bank,09/24/2021,Human Tissue for Transplantation,21 CFR 1271.290(b),Establishing a system,A tracking system that enables the tracking of HCT/Ps back and forth from the donor to the consignee or final disposition was not established.
1153593,3013315456,"American Health Formulations, Inc.",09/24/2021,Foods,21 CFR 111.73,"Specifications met - identity, purity, strength, composition","You did not determine whether you met established product specifications for identity, purity, strength and composition of the finished batch of the dietary supplement."
1153593,3013315456,"American Health Formulations, Inc.",09/24/2021,Foods,21 CFR 111.75(a)(1)(i),"Component -  verify identity, dietary ingredient","You did not conduct at least one appropriate test or examination to verify the identity of a dietary ingredient, prior to its use."
1153684,1815692,Abbott Nutrition,09/24/2021,Foods,21 CFR 106.10(b)(2),Personnel - hand washing,"Personnel working directly with infant formula, its raw materials, packaging, or equipment or utensil contact surfaces did not wash hands thoroughly in a hand washing facility at a suitable temperature after the hands may have become soiled or contaminated."
1153684,1815692,Abbott Nutrition,09/24/2021,Foods,21 CFR 106.20(a),"Maintain building in clean, sanitary condition","You did not maintain a building used in the manufacture, processing, packing or holding of infant formula in a clean and sanitary condition."
